Full Name, Brand, Category Name, Properties, MRP, Discount
Himalaya Ayur Slim 60 Capsule, Himalaya, Calcium Tablets, 60 Capsule, 225, 0
Himalaya Ayur Slim 3 X 60 Tablets, Himalaya, Calcium Tablets, 3 X 60 Tablets, 600, 0
Himalaya Triphala 60 Tablets, Himalaya, Calcium Tablets, 60 Tablets, 135, 0
Himalaya Shallaki 60 Tablets, Himalaya, Calcium Tablets, 60 Tablets, 135, 0
Himalaya Gokshura MInd Wellness 60 Capsules, Himalaya, Calcium Tablets, 60 Capsules, 150, 0
Himalaya Brahmi Mind Wellness 60 Capsules, Himalaya, Calcium Tablets, 60 Capsules, 135, 0
Himalaya Karela 60 Tablets, Himalaya, Calcium Tablets, 60 Tablets, 135, 0
Himalaya Lasuna 60 Tablets, Himalaya, Calcium Tablets, 60 Tablets, 150, 0
Himalaya Hadjod 60 Tablets, Himalaya, Calcium Tablets, 60 Tablets, 150, 0
Himalaya Guduchi Immunity Wellness 60 Tablets, Himalaya, Calcium Tablets, 60 Tablets, 135, 0
Himalaya Amalaki  Immunity Wellness 60 Capsules, Himalaya, Calcium Tablets, 60 Capsules, 150, 0
Himalaya Neem 60 Tablets, Himalaya, Calcium Tablets, 60 Tablets, 135, 0
Himalaya Bael Bowel Wellness 60 Capsules, Himalaya, Calcium Tablets, 60 Capsules, 135, 0
