Full Name, Brand, Category Name, Properties, MRP, Discount
Fresh Tomato 500 g, Fresh, Fresh Vegetables, 500 g, 18, 0
Fresh Onion Red 1 Kg, Fresh, Fresh Vegetables, 1 Kg, 18, 0
Fresh Potato 1 Kg, Fresh, Fresh Vegetables, 1 Kg, 27, 0
Fresh Lady Finger 500 g, Fresh, Fresh Vegetables, 500 g, 24.5, 0
Fresh Cucumber Green 500 g, Fresh, Fresh Vegetables, 500 g, 17.5, 0
Fresh Capsicum Green 300 g, Fresh, Fresh Vegetables, 300 g, 23.4, 0
Fresh Coriander Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 13, 0
Fresh Chilli Green 100 g, Fresh, Fresh Vegetables, 100 g, 9.5, 0
Fresh French Beans 250 g, Fresh, Fresh Vegetables, 250 g, 33.75, 0
Fresh Cauliflower 1 Nos, Fresh, Fresh Vegetables, 1 Nos, 33, 0
Fresh Cabbage 1 Kg, Fresh, Fresh Vegetables, 1 Kg, 17, 0
Fresh Bottle Gourd (Dudhi) 900 g, Fresh, Fresh Vegetables, 900 g, 28.8, 0
Fresh Lemon 1 pc, Fresh, Fresh Vegetables, 1 pc, 7, 0
Fresh Ginger 250 g, Fresh, Fresh Vegetables, 250 g, 27.5, 0
Fresh Spinach (Palak) Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 8, 0
Fresh Radish White 250 g, Fresh, Fresh Vegetables, 250 g, 10, 0
Fresh Brinjal Bharta 500 g, Fresh, Fresh Vegetables, 500 g, 18.5, 0
Fresh Methi Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 12, 0
Fresh Curry Leaves Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 5, 0
Fresh Ridge Gourd 500 g, Fresh, Fresh Vegetables, 500 g, 19, 0
