Full Name, Brand, Category Name, Properties, MRP, Discount
Baba Ramdev Patanjali Aloevera Gel 150 ml, Baba Ramdev Patanjali, Face Scrub, 150 ml, 80, 0
Ever Yuth Walnut Scrub 100 g, Ever Yuth, Face Scrub, 100 g, 120, 0
Himalaya Walnut Scrub 100 g, Himalaya, Face Scrub, 100 g, 130, 0
Ever Yuth Walnut Apricot Scrub 220 g, Ever Yuth, Face Scrub, 220 g, 195, 0
Ponds White Beauty Tan Removal Scrub 50 g, Ponds, Face Scrub, 50 g, 110, 0
Ponds White Beauty Tan Removal Scrub 100 g, Ponds, Face Scrub, 100 g, 175, 0
Clean & Clear Blackhead Clearing Daily Scrub 80 g, Clean & Clear, Face Scrub, 80 g, 110, 0
Lotus White Glow Oatmeal & Yogurt Skin Whitening Sc 100 g, Lotus, Face Scrub, 100 g, 195, 0
Nivea For Men Advanced Whitening Dark Spot Reduction Face Scrub 50 ml, Nivea, Face Scrub, 50 ml, 99, 0
Nivea For Men Advanced Whitening Dark Spot Reduction Face Scrub 100 ml, Nivea, Face Scrub, 100 ml, 190, 0
Himalaya Apricot Scrub 100 g, Himalaya, Face Scrub, 100 g, 130, 0
Biotique Bio Cucumber Pore Tightening Freshener 120 ml, Biotique, Face Scrub, 120 ml, 175, 0
Biotique Bio Papaya Smoothing n Revitalizing Scrub 85 g, Biotique, Face Scrub, 85 g, 199, 0
Garnier Light Gentle Exfoliating Scrub 100 g, Garnier, Face Scrub, 100 g, 150, 0
Lotus White Glow 3 in 1 Deep Cleansing Skin Whitening 100 g, Lotus, Face Scrub, 100 g, 195, 0
Biotique Bio Walnut Purifying n Polishing Scrub 50 g, Biotique, Face Scrub, 50 g, 199, 0
VLCC Papaya & Apricot Face Scrub 80 g, VLCC, Face Scrub, 80 g, 155, 0
Biotique Bio Pineapple Fresh Foaming Cleansing Gel 120 ml, Biotique, Face Scrub, 120 ml, 149, 0
Lakme Gentle And Soft Deep Cleanser 120 ml, Lakme, Face Scrub, 120 ml, 197, 0
Lotus Herbal Berry Scrub 120 g, Lotus, Face Scrub, 120 g, 175, 0
Biotique Bio Honey Lightening Freshener With Himalayan Water 120 ml, Biotique, Face Scrub, 120 ml, 175, 0
Lotus Youthrx Anti Ageing Masque 80 g, Lotus, Face Scrub, 80 g, 295, 0
Fresh Coconut Regular 1 Nos, Fresh, Fresh Vegetables, 1 Nos, 20, 0
Fresh Beetroot 500 g, Fresh, Fresh Vegetables, 500 g, 21, 0
Fresh Mint Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 7.5, 0
Fresh Bitter Gourd 750 g, Fresh, Fresh Vegetables, 750 g, 45, 0
Fresh Garlic Whole Regular 300 g, Fresh, Fresh Vegetables, 300 g, 45, 0
Fresh Green Peas 500 g, Fresh, Fresh Vegetables, 500 g, 110, 0
Fresh Basket Broccoli 500 g, Fresh Basket, Fresh Vegetables, 500 g, 120, 0
Fresh Colacasia Arvi Roots 250 g, Fresh, Fresh Vegetables, 250 g, 17, 0
Fresh Gooseberry Indian Amla 250 g, Fresh, Fresh Vegetables, 250 g, 30, 0
Fresh Mushroom Button Unit Pack 1 pc, Fresh, Fresh Vegetables, 1 pc, 46, 0
Fresh Cluster Beans 250 g, Fresh, Fresh Vegetables, 250 g, 14.5, 0
Fresh Basket Potato 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 28, 0
Fresh Brinjal Long White 500 g, Fresh, Fresh Vegetables, 500 g, 19, 0
Fresh Drumsticks 250 g, Fresh, Fresh Vegetables, 250 g, 20, 0
Fresh Amranths Red Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 7, 0
Fresh Pointer Gourd (Parval) 500 g, Fresh, Fresh Vegetables, 500 g, 60, 0
Fresh Basket Onion Packed 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 20, 0
Fresh Basket Onion Packed 5 Kg, Fresh Basket, Fresh Vegetables, 5 Kg, 95, 0
Fresh Avocado 500 g, Fresh, Fresh Vegetables, 500 g, 160, 0
Fresh European (English) Cucumber 500 g, Fresh, Fresh Vegetables, 500 g, 24, 0
Fresh Snake Gourd 500 g, Fresh, Fresh Vegetables, 500 g, 27, 0
