Full Name, Brand, Category Name, Properties, MRP, Discount
McCain Chilli Garlic Potato Bites 200 g, McCain, Frozen Snacks, 200 g, 40, 0
McCain Chilli Garlic Potato Bites 420 g, McCain, Frozen Snacks, 420 g, 95, 0
McCain Chilli Garlic Potato Bites 700 g, McCain, Frozen Snacks, 700 g, 150, 0
McCain Aloo Tikki 160 g, McCain, Frozen Snacks, 160 g, 40, 0
McCain Aloo Tikki 400 g, McCain, Frozen Snacks, 400 g, 85, 0
McCain Aloo Tikki 760 g, McCain, Frozen Snacks, 760 g, 150, 0
McCain Smiles Crispy Happy Potatoes 175 g, McCain, Frozen Snacks, 175 g, 40, 0
McCain Smiles Crispy Happy Potatoes 415 g, McCain, Frozen Snacks, 415 g, 100, 0
McCain Smiles Crispy Happy Potatoes 750 g, McCain, Frozen Snacks, 750 g, 160, 0
McCain Smiles Crispy Happy Potatoes 1.25 kg, McCain, Frozen Snacks, 1.25 kg, 250, 0
McCain French fries 200 g, McCain, Frozen Snacks, 200 g, 40, 0
McCain French fries 750 g, McCain, Frozen Snacks, 750 g, 150, 0
McCain French fries 1.25 kg, McCain, Frozen Snacks, 1.25 kg, 230, 0
McCain Frenchfries 450 g, McCain, Frozen Snacks, 450 g, 90, 0
Sumeru French Fries 200 g, Sumeru, Frozen Snacks, 200 g, 47, 0
Sumeru French Fries 500 g, Sumeru, Frozen Snacks, 500 g, 110, 0
Very Berry Blueberry 200 g, Very Berry, Frozen Snacks, 200 g, 235, 0
Very Berry Blueberry 200 g, Very Berry, Frozen Snacks, 200 g, 235, 0
McCain Super wedges 450 g, McCain, Frozen Snacks, 450 g, 95, 0
ID Special Wheat Lacha Paratha 300 g, ID, Frozen Snacks, 300 g, 60, 0
Very Berry Cranberry 200 g, Very Berry, Frozen Snacks, 200 g, 185, 0
Buffet Malabar Paratha 300 g, Buffet, Frozen Snacks, 300 g, 75, 0
Buffet Malabar Paratha 1 kg, Buffet, Frozen Snacks, 1 kg, 210, 0
Buffet Multigrain Paratha 300 g, Buffet, Frozen Snacks, 300 g, 80, 0
Yummiez Veg Cheese Fingers 400 g, Yummiez, Frozen Snacks, 400 g, 180, 0
Yummiez Veg Cheese Corn Nuggets 400 g, Yummiez, Frozen Snacks, 400 g, 190, 0
Yummiez Veg Cheese Corn Nuggets 1 Kg, Yummiez, Frozen Snacks, 1 Kg, 350, 0
Fresh Frozen Potato Teddy Bears 300 g, Fresh Frozen, Frozen Snacks, 300 g, 93, 0
Sumeru Malabar Paratha 300 g, Sumeru, Frozen Snacks, 300 g, 75, 0
Sumeru Malabar Paratha 1 Kg, Sumeru, Frozen Snacks, 1 Kg, 210, 0
McCain Veggie Nuggets Crunchy Veggie Delight 325 g, McCain, Frozen Snacks, 325 g, 100, 0
Very Berry Wild Blueberry 150 g, Very Berry, Frozen Snacks, 150 g, 275, 0
Very Berry Strawberry 150 g, Very Berry, Frozen Snacks, 150 g, 175, 0
McCain Veggie Burger 360 g, McCain, Frozen Snacks, 360 g, 95, 0
Fresh Coconut Regular 1 Nos, Fresh, Fresh Vegetables, 1 Nos, 20, 0
Fresh Beetroot 500 g, Fresh, Fresh Vegetables, 500 g, 21, 0
Fresh Mint Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 7.5, 0
Fresh Bitter Gourd 750 g, Fresh, Fresh Vegetables, 750 g, 45, 0
Fresh Garlic Whole Regular 300 g, Fresh, Fresh Vegetables, 300 g, 45, 0
Fresh Green Peas 500 g, Fresh, Fresh Vegetables, 500 g, 110, 0
Fresh Basket Broccoli 500 g, Fresh Basket, Fresh Vegetables, 500 g, 120, 0
Fresh Colacasia Arvi Roots 250 g, Fresh, Fresh Vegetables, 250 g, 17, 0
Fresh Gooseberry Indian Amla 250 g, Fresh, Fresh Vegetables, 250 g, 30, 0
Fresh Mushroom Button Unit Pack 1 pc, Fresh, Fresh Vegetables, 1 pc, 46, 0
Fresh Cluster Beans 250 g, Fresh, Fresh Vegetables, 250 g, 14.5, 0
Fresh Basket Potato 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 28, 0
Fresh Brinjal Long White 500 g, Fresh, Fresh Vegetables, 500 g, 19, 0
Fresh Drumsticks 250 g, Fresh, Fresh Vegetables, 250 g, 20, 0
Fresh Amranths Red Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 7, 0
Fresh Pointer Gourd (Parval) 500 g, Fresh, Fresh Vegetables, 500 g, 60, 0
Fresh Basket Onion Packed 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 20, 0
