Full Name, Brand, Category Name, Properties, MRP, Discount
Gillette Satin Care Razor For Women 1 pc, Gillette, Hair Remover, 1 pc, 49, 0
Veet Hair Removal Cream Aloe Vera & Vitamin E Sensitive Skin 25 g, Veet, Hair Remover, 25 g, 59, 0
Veet Hair Removal Cream Aloe Vera & Vitamin E Sensitive Skin 60 g, Veet, Hair Remover, 60 g, 110, 0
Veet Hair Removal Cream with Lotus Milk & Jasmine Normal Skin 60 g, Veet, Hair Remover, 60 g, 110, 0
Veet Hair Removal Cream with Lotus Milk & Jasmine Normal Skin 100 g, Veet, Hair Remover, 100 g, 175, 0
Veet Supren Essence Hair Removal Cream with Velvet Rose & Beauty Oils 60 g, Veet, Hair Remover, 60 g, 110, 0
Veet Dry Skin Hair Removal Cream with Shea Butter & Lily Fragrance 25 g, Veet, Hair Remover, 25 g, 59, 0
Veet Dry Skin Hair Removal Cream with Shea Butter & Lily Fragrance 60 g, Veet, Hair Remover, 60 g, 110, 0
Veet Full Body Waxing Kit Aloe Vera And Lotus Flower Fragrance For Dry Skin 20 Strips, Veet, Hair Remover, 20 Strips, 170, 0
Veet Brite Sensitive Hair Remover Cream 25 g, Veet, Hair Remover, 25 g, 59, 0
Veet Brite Sensitive Hair Remover Cream 60 g, Veet, Hair Remover, 60 g, 110, 0
Veet Hair Removal Cream Brightening Normal to Dry Skin 25 g, Veet, Hair Remover, 25 g, 59, 0
Veet Hair Removal Cream Brightening Normal to Dry Skin 60 g, Veet, Hair Remover, 60 g, 110, 0
Veet Natural With Papaya Extract Hair Removal Cream 60 g, Veet, Hair Remover, 60 g, 110, 0
Veet Full Body Waxing Kit She Butrriester And Be For Normal Skin 20 Strips, Veet, Hair Remover, 20 Strips, 170, 0
