Full Name, Brand, Category Name, Properties, MRP, Discount
Baba Ramdev Patanjali Kesh Kanti Natural Hair Cleanser 200 ml, Baba Ramdev Patanjali, Shampoo, 200 ml, 75, 0
Baba Ramdev Patanjali Kesh Kanti Reetha Hair Cleanser 200 ml, Baba Ramdev Patanjali, Shampoo, 200 ml, 85, 0
LOreal Paris Total Repair 5 Shampoo 75 ml, LOreal, Shampoo, 75 ml, 55, 0
LOreal Paris Total Repair 5 Shampoo 175 ml, LOreal, Shampoo, 175 ml, 120, 0
LOreal Paris Total Repair 5 Shampoo 360 ml, LOreal, Shampoo, 360 ml, 220, 0
LOreal Paris Total Repair 5 Shampoo 640 ml, LOreal, Shampoo, 640 ml, 420, 0
Head & Shoulders Anti Dandruff Cool Menthol Shampoo 80 ml, Head & Shoulders, Shampoo, 80 ml, 60, 0
Head & Shoulders Anti Dandruff Cool Menthol Shampoo 170 ml, Head & Shoulders, Shampoo, 170 ml, 135, 0
Head & Shoulders Anti Dandruff Cool Menthol Shampoo 375 ml, Head & Shoulders, Shampoo, 375 ml, 250, 0
Head & Shoulders Anti Dandruff Cool Menthol Shampoo 675 ml, Head & Shoulders, Shampoo, 675 ml, 475, 0
Tresemme Keratin Smooth Shampoo 225 ml, Tresemme, Shampoo, 225 ml, 148, 0
Tresemme Keratin Smooth Shampoo 600 ml, Tresemme, Shampoo, 600 ml, 415, 0
Dove Daily Shine  Shampoo 80 ml, Dove, Shampoo, 80 ml, 75, 0
Dove Daily Shine  Shampoo 180 ml, Dove, Shampoo, 180 ml, 124, 0
Dove Daily Shine  Shampoo 340 ml, Dove, Shampoo, 340 ml, 230, 0
Dove Daily Shine  Shampoo 650 ml, Dove, Shampoo, 650 ml, 430, 0
Head & Shoulders Anti Dandruff Smooth & Silky Shampoo 80 ml, Head & Shoulders, Shampoo, 80 ml, 60, 0
Head & Shoulders Anti Dandruff Smooth & Silky Shampoo 170 ml, Head & Shoulders, Shampoo, 170 ml, 135, 0
Head & Shoulders Anti Dandruff Smooth & Silky Shampoo 375 ml, Head & Shoulders, Shampoo, 375 ml, 250, 0
Head & Shoulders Anti Dandruff Smooth & Silky Shampoo 675 ml, Head & Shoulders, Shampoo, 675 ml, 475, 0
Sunsilk Stunning Black Shine Shampoo 75 ml, Sunsilk, Shampoo, 75 ml, 47, 0
Sunsilk Stunning Black Shine Shampoo 180 ml, Sunsilk, Shampoo, 180 ml, 105, 0
Sunsilk Stunning Black Shine Shampoo 340 ml, Sunsilk, Shampoo, 340 ml, 190, 0
Sunsilk Stunning Black Shine Shampoo 675 ml, Sunsilk, Shampoo, 675 ml, 360, 0
Head & Shoulders Anti Dandruff Anti Hair Fall Shampoo 75 ML, Head & Shoulders, Shampoo, 75 ML, 60, 0
Head & Shoulders Anti Dandruff Anti Hair Fall Shampoo 170 ml, Head & Shoulders, Shampoo, 170 ml, 135, 0
Head & Shoulders Anti Dandruff Anti Hair Fall Shampoo 375 ml, Head & Shoulders, Shampoo, 375 ml, 250, 0
Head & Shoulders Anti Dandruff Anti Hair Fall Shampoo 675 ml, Head & Shoulders, Shampoo, 675 ml, 475, 0
Dove Hair Fall Rescue Shampoo 80 ml, Dove, Shampoo, 80 ml, 56, 0
Dove Hair Fall Rescue Shampoo 180 ml, Dove, Shampoo, 180 ml, 124, 0
Dove Hair Fall Rescue Shampoo 340 ml, Dove, Shampoo, 340 ml, 230, 0
Dove Hair Fall Rescue Shampoo 650 ml, Dove, Shampoo, 650 ml, 430, 0
Dove Advanced Hair Series Oxygen Moisture Shampoo 180 ml, Dove, Shampoo, 180 ml, 182, 0
Dove Advanced Hair Series Oxygen Moisture Shampoo 340 ml, Dove, Shampoo, 340 ml, 297, 0
Dove Advanced Hair Series Oxygen Moisture Shampoo 650 ml, Dove, Shampoo, 650 ml, 473, 0
Himalaya Protein Shampoo Gentle Daily Care 200 ml, Himalaya, Shampoo, 200 ml, 130, 0
Himalaya Protein Shampoo Gentle Daily Care 400 ml, Himalaya, Shampoo, 400 ml, 220, 0
LOreal Paris Colour Protect Shampoo 75 ml, LOreal, Shampoo, 75 ml, 55, 0
LOreal Paris Colour Protect Shampoo 175 ml, LOreal, Shampoo, 175 ml, 120, 0
LOreal Paris Colour Protect Shampoo 360 ml, LOreal, Shampoo, 360 ml, 245, 0
Tresemme Smooth & Shine Salon Silk Moisture Shampoo 215 ml, Tresemme, Shampoo, 215 ml, 123, 0
Tresemme Smooth & Shine Salon Silk Moisture Shampoo 600 ml, Tresemme, Shampoo, 600 ml, 360, 0
Clinic Plus Strong & Long Natural Shampoo 175 ml, Clinic Plus, Shampoo, 175 ml, 95, 0
Clinic Plus Strong & Long Natural Shampoo 340 ml, Clinic Plus, Shampoo, 340 ml, 207, 0
LOreal Paris 6 Oil Nourish Shampoo 75 ml, LOreal, Shampoo, 75 ml, 55, 0
LOreal Paris 6 Oil Nourish Shampoo 175 ml, LOreal, Shampoo, 175 ml, 120, 0
LOreal Paris 6 Oil Nourish Shampoo 360 ml, LOreal, Shampoo, 360 ml, 420, 0
LOreal Paris 6 Oil Nourish Shampoo 640 ml, LOreal, Shampoo, 640 ml, 420, 0
Himalaya Anti Dandruff Shampoo 200 ml, Himalaya, Shampoo, 200 ml, 130, 0
Himalaya Anti Dandruff Shampoo 400 ml, Himalaya, Shampoo, 400 ml, 220, 0
Himalaya Anti Dandruff Shampoo 700 ml, Himalaya, Shampoo, 700 ml, 360, 0
Pantene Lively Clean Shampoo 75 ml, Pantene, Shampoo, 75 ml, 50, 0
Pantene Lively Clean Shampoo 180 ml, Pantene, Shampoo, 180 ml, 110, 0
Pantene Lively Clean Shampoo 675 ml, Pantene, Shampoo, 675 ml, 400, 0
Sunsilk Lusciously Thick & Long (Pink) Shampoo 180 ml, Sunsilk, Shampoo, 180 ml, 105, 0
Sunsilk Lusciously Thick & Long (Pink) Shampoo 340 ml, Sunsilk, Shampoo, 340 ml, 190, 0
Pantene Hair Fall Control Shampoo 80 ml, Pantene, Shampoo, 80 ml, 50, 0
Pantene Hair Fall Control Shampoo 180 ml, Pantene, Shampoo, 180 ml, 110, 0
Pantene Hair Fall Control Shampoo 340 ml, Pantene, Shampoo, 340 ml, 200, 0
Pantene Hair Fall Control Shampoo 675 ml, Pantene, Shampoo, 675 ml, 400, 0
