Full Name, Brand, Category Name, Properties, MRP, Discount
Kinley Water Bottle 500 ml, Kinley, Water, 500 ml, 12, 0
Kinley Water Bottle 1 Ltr, Kinley, Water, 1 Ltr, 20, 0
Kinley Water Bottle 2 Ltr, Kinley, Water, 2 Ltr, 35, 0
Aquafina Water Bottle 500 ml, Aquafina, Water, 500 ml, 10, 0
Aquafina Water Bottle 1 Ltr, Aquafina, Water, 1 Ltr, 20, 0
Aquafina Water Bottle 2 Ltr, Aquafina, Water, 2 Ltr, 35, 0
Bailey Water 1 Ltr, Bailey, Water, 1 Ltr, 20, 0
Bindu Water 1 Ltr, Bindu, Water, 1 Ltr, 20, 0
Schweppes Indian Tonic Water 250 ml, Schweppes, Water, 250 ml, 50, 0
Himalayan Mineral Water 500 ml, Himalayan, Water, 500 ml, 30, 3
Himalayan Mineral Water 1 ltr, Himalayan, Water, 1 ltr, 55, 5.5
Ocean Water Mango & Passion Fruit 500 ml, Ocean, Water, 500 ml, 45, 0
Cocojal Pineapple Tender Coconut Water 200 ml, Cocojal, Water, 200 ml, 30, 0
Cocojal Mango Tender Coconut Water Drink 200 ml, Cocojal, Water, 200 ml, 30, 0
Ocean Water Pink Guava 500 ml, Ocean, Water, 500 ml, 45, 0
Cocojal Tender Coconut Water 200 ml, Cocojal, Water, 200 ml, 30, 0
Ocean Water Peach & Passion Fruit 500 ml, Ocean, Water, 500 ml, 45, 0
Periere Natural  Spring Water 330 ml, Periere, Water, 330 ml, 165, 0
Wild Vitamin Water Tropical Citrus Flavoured 400 ml, Wild, Water, 400 ml, 75, 0
Wild Vitamin Water Strawberry Kiwi Flavoured 400 ml, Wild, Water, 400 ml, 75, 0
Ocean Water Crispy Apple 500 ml, Ocean, Water, 500 ml, 45, 0
Epicure Celery Hearts In Salted Water 400 g, Epicure, Water, 400 g, 225, 0
Evian Mineral  Water 330 ml, Evian, Water, 330 ml, 130, 0
Areoner Spring Water 1 Ltr, Areoner, Water, 1 Ltr, 77, 0
Wild Vitamian Water Dragonfruit Flavoured 400 ml, Wild, Water, 400 ml, 75, 0
Fresh Coconut Regular 1 Nos, Fresh, Fresh Vegetables, 1 Nos, 20, 0
Fresh Beetroot 500 g, Fresh, Fresh Vegetables, 500 g, 21, 0
Fresh Mint Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 7.5, 0
Fresh Bitter Gourd 750 g, Fresh, Fresh Vegetables, 750 g, 45, 0
Fresh Garlic Whole Regular 300 g, Fresh, Fresh Vegetables, 300 g, 45, 0
Fresh Green Peas 500 g, Fresh, Fresh Vegetables, 500 g, 110, 0
Fresh Basket Broccoli 500 g, Fresh Basket, Fresh Vegetables, 500 g, 120, 0
Fresh Colacasia Arvi Roots 250 g, Fresh, Fresh Vegetables, 250 g, 17, 0
Fresh Gooseberry Indian Amla 250 g, Fresh, Fresh Vegetables, 250 g, 30, 0
Fresh Mushroom Button Unit Pack 1 pc, Fresh, Fresh Vegetables, 1 pc, 46, 0
Fresh Cluster Beans 250 g, Fresh, Fresh Vegetables, 250 g, 14.5, 0
Fresh Basket Potato 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 28, 0
Fresh Brinjal Long White 500 g, Fresh, Fresh Vegetables, 500 g, 19, 0
Fresh Drumsticks 250 g, Fresh, Fresh Vegetables, 250 g, 20, 0
Fresh Amranths Red Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 7, 0
Fresh Pointer Gourd (Parval) 500 g, Fresh, Fresh Vegetables, 500 g, 60, 0
Fresh Basket Onion Packed 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 20, 0
Fresh Basket Onion Packed 5 Kg, Fresh Basket, Fresh Vegetables, 5 Kg, 95, 0
Fresh Avocado 500 g, Fresh, Fresh Vegetables, 500 g, 160, 0
Fresh European (English) Cucumber 500 g, Fresh, Fresh Vegetables, 500 g, 24, 0
Fresh Snake Gourd 500 g, Fresh, Fresh Vegetables, 500 g, 27, 0
