Full Name, Brand, Category Name, Properties, MRP, Discount
Safal Frozen Green Peas 200 g, Safal, Frozen Green Peas, 200 g, 45, 0
Safal Frozen Green Peas 500 g, Safal, Frozen Green Peas, 500 g, 100, 0
Safal Frozen Green Peas 1 Kg, Safal, Frozen Green Peas, 1 Kg, 190, 0
Al Kabeer Green Peas 500 g, Al Kabeer, Frozen Green Peas, 500 g, 105, 0
Al Kabeer Green Peas 1 Kg, Al Kabeer, Frozen Green Peas, 1 Kg, 195, 0
Yummies Green Peas 200 g, Yummies, Frozen Green Peas, 200 g, 50, 0
Yummies Green Peas 500 g, Yummies, Frozen Green Peas, 500 g, 100, 0
Yummies Green Peas 1 kg, Yummies, Frozen Green Peas, 1 kg, 190, 0
Sumeru Green Peas 500 g, Sumeru, Frozen Green Peas, 500 g, 119, 0
Sumeru Green Peas 1 kg, Sumeru, Frozen Green Peas, 1 kg, 228, 0
Frish Green Peas 500 g, Frish, Frozen Green Peas, 500 g, 100, 0
Fresh Frozen Green Peas 250 g, Fresh Frozen, Frozen Green Peas, 250 g, 55, 0
