Full Name, Brand, Category Name, Properties, MRP, Discount
Chicco Disinfectant Multipurpose 1 Ltr, Chicco, Baby Essentials, 1 Ltr, 399, 0
Johnson & Johnson Baby Care Collection Luxury Combo Pack 1 Pack, Johnson & Johnson, Baby Essentials, 1 Pack, 501, 0
Himalaya Babycare Gift pack 1 pc, Himalaya, Baby Essentials, 1 pc, 630, 0
Himalaya Baby Care Gift Pack 1 Set, Himalaya, Baby Essentials, 1 Set, 630, 0
Chicco EAU De Cologne 100 ml, Chicco, Baby Essentials, 100 ml, 500, 0
Chicco First Caring Gift Set 1 Pc, Chicco, Baby Essentials, 1 Pc, 501, 0
Johnson & Johnson Baby Gift Set 1 Set, Johnson & Johnson, Baby Essentials, 1 Set, 201, 0
