Full Name, Brand, Category Name, Properties, MRP, Discount
VLCC Kajal 2.5 g, VLCC, Kajal, 2.5 g, 155, 0
Lotus Herbals Natural Kajal 4 g, Lotus, Kajal, 4 g, 135, 0
Lotus Herbals Colorkick Kajal 0.28 g, Lotus, Kajal, 0.28 g, 199, 0
Lakme Kajal 2 g, Lakme, Kajal, 2 g, 65, 0
Lakme Eyeconic Kajal Brown 11 X 0.35 g, Lakme, Kajal, 11 X 0.35 g, 250, 0
Lakme Eyeconic Kajal Green 11 X 0.35 g, Lakme, Kajal, 11 X 0.35 g, 250, 0
Lakme Eyeconic Kajal Green 0.35 g, Lakme, Kajal, 0.35 g, 275, 0
Lakme Eyeconic White Kajal 0.35 g, Lakme, Kajal, 0.35 g, 250, 0
Lotus Eco Stay Kajal Black 1.2 g, Lotus, Kajal, 1.2 g, 325, 0
Lakme Eyeconic Curling Mascara 9 ml, Lakme, Kajal, 9 ml, 350, 0
Lakme 9 To 5 Long Wear Nail Colour Rose Crush 9 ml, Lakme, Kajal, 9 ml, 220, 0
Lakme Eyeconic Kajal Grey 11 X 0.35 g, Lakme, Kajal, 11 X 0.35 g, 250, 0
Lakme Lakme 9 To 5 Long Wear Nail Colour Red Boss 9 ml, Lakme, Kajal, 9 ml, 220, 0
Maybelline The Colossal Kajal 1 pc, Maybelline, Kajal, 1 pc, 200, 0
