Full Name, Brand, Category Name, Properties, MRP, Discount
Scotch Brite Sponge Wipe 175 X 200 mm 1 pc, Scotch Brite, Wipes, 1 pc, 50, 0
Scotch Brite Sponge Wipe 175 X 200 mm 3 pc, Scotch Brite, Wipes, 3 pc, 140, 0
Scotch Brite Sponge Wipe 175 X 200 mm 5 Pc, Scotch Brite, Wipes, 5 Pc, 224, 0
Scotch Brite Sponge Wipes 175mm X 150mm 1 pc, Scotch Brite, Wipes, 1 pc, 45, 0
Kara Refreshing Facial Wipes With Aloe Vera & Mint Oil 10 Nos, Kara, Wipes, 10 Nos, 40, 0
Kara Refreshing Facial Wipes With Aloe Vera & Mint Oil 30 Nos, Kara, Wipes, 30 Nos, 95, 0
Clorox Fresh Scent Disinfecting Wet Wipes 35 pc, Clorox, Wipes, 35 pc, 350, 0
Kara Refresh Wipes With Cucumber & Aloe Vera 10 Nos, Kara, Wipes, 10 Nos, 40, 0
Vwash Plus 10 Nos, Vwash, Wipes, 10 Nos, 100, 0
Kara Hand Sanitizing Wipes 10 Pc, Kara, Wipes, 10 Pc, 40, 0
Kara Baby Cleansing Wipes 80 Nos, Kara, Wipes, 80 Nos, 199, 0
Kara Neem and Tea Tree Wipes 10 Pc, Kara, Wipes, 10 Pc, 50, 0
Kara Refresh Wipes Cucumber & Aloe Vera 30 Wipes, Kara, Wipes, 30 Wipes, 95, 0
Kara Sunscreen Wipes With Plum & Aloe Vera 10 Nos, Kara, Wipes, 10 Nos, 80, 0
Kara Sunscreen Wipes With Plum & Aloe Vera 25 pc, Kara, Wipes, 25 pc, 175, 0
Kara Moisturizing Wipes With Honey And Almond 25 Wipes, Kara, Wipes, 25 Wipes, 145, 0
Kara Deep Pore Cleansing Wipes With Jojoba & Avocado 25 Wipes, Kara, Wipes, 25 Wipes, 145, 0
Cool & Cool Floral Wipes 20 Nos, Cool & Cool, Wipes, 20 Nos, 79, 0
Cool Cool Lady Care Exclusive Feminine Wipes 20 Nos, Cool Cool, Wipes, 20 Nos, 149, 0
Kara Toning Wipes With Rose And Thyme 25 Wipes, Kara, Wipes, 25 Wipes, 145, 0
Cool & Cool Lemon Wipes 20 Nos, Cool & Cool, Wipes, 20 Nos, 79, 0
Scotch Brite Spong Wipe 200 X125 mm 1 Pc, Scotch Brite, Wipes, 1 Pc, 110, 0
Dettol Multi Use Wipes 10 Nos, Dettol, Wipes, 10 Nos, 45, 0
Terzo Sponge Wipe 18 cm X 19 cm 1 pc, Terzo, Wipes, 1 pc, 35, 0
Fresh Coconut Regular 1 Nos, Fresh, Fresh Vegetables, 1 Nos, 20, 0
Fresh Beetroot 500 g, Fresh, Fresh Vegetables, 500 g, 21, 0
Fresh Mint Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 7.5, 0
Fresh Bitter Gourd 750 g, Fresh, Fresh Vegetables, 750 g, 45, 0
Fresh Garlic Whole Regular 300 g, Fresh, Fresh Vegetables, 300 g, 45, 0
Fresh Green Peas 500 g, Fresh, Fresh Vegetables, 500 g, 110, 0
Fresh Basket Broccoli 500 g, Fresh Basket, Fresh Vegetables, 500 g, 120, 0
Fresh Colacasia Arvi Roots 250 g, Fresh, Fresh Vegetables, 250 g, 17, 0
Fresh Gooseberry Indian Amla 250 g, Fresh, Fresh Vegetables, 250 g, 30, 0
Fresh Mushroom Button Unit Pack 1 pc, Fresh, Fresh Vegetables, 1 pc, 46, 0
Fresh Cluster Beans 250 g, Fresh, Fresh Vegetables, 250 g, 14.5, 0
Fresh Basket Potato 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 28, 0
Fresh Brinjal Long White 500 g, Fresh, Fresh Vegetables, 500 g, 19, 0
Fresh Drumsticks 250 g, Fresh, Fresh Vegetables, 250 g, 20, 0
Fresh Amranths Red Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 7, 0
Fresh Pointer Gourd (Parval) 500 g, Fresh, Fresh Vegetables, 500 g, 60, 0
Fresh Basket Onion Packed 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 20, 0
Fresh Basket Onion Packed 5 Kg, Fresh Basket, Fresh Vegetables, 5 Kg, 95, 0
Fresh Avocado 500 g, Fresh, Fresh Vegetables, 500 g, 160, 0
Fresh European (English) Cucumber 500 g, Fresh, Fresh Vegetables, 500 g, 24, 0
Fresh Snake Gourd 500 g, Fresh, Fresh Vegetables, 500 g, 27, 0
