Full Name, Brand, Category Name, Properties, MRP, Discount
Act II Microwave Popcorn Butter Flavour 33 g, Act II, Instant Popcorn, 33 g, 22, 0
Act II Microwave Popcorn Butter Flavour 99 g, Act II, Instant Popcorn, 99 g, 65, 0
Act II Microwave Popcorn Butter Flavour 255 g, Act II, Instant Popcorn, 255 g, 180, 0
Act II Microwave Popcorn Butter Lovers 33 g, Act II, Instant Popcorn, 33 g, 22, 0
Act II Microwave Popcorn Butter Lovers 99 g, Act II, Instant Popcorn, 99 g, 65, 0
Act II Microwave Popcorn Natural 33 g, Act II, Instant Popcorn, 33 g, 22, 0
Act II Microwave Popcorn Natural 99 g, Act II, Instant Popcorn, 99 g, 65, 0
