Full Name, Brand, Category Name, Properties, MRP, Discount
Gillette Mach3 Cartridges 2 pcs, Gillette, Blade, 2 pcs, 255, 0
Gillette Mach3 Cartridges 4 pcs, Gillette, Blade, 4 pcs, 455, 0
Gillette Mach3 Cartridges 8 pcs, Gillette, Blade, 8 pcs, 790, 0
Gillette Mach3 Cartridges 12 pcs, Gillette, Blade, 12 pcs, 1060, 0
Gillette Vector Cartridges 4 pcs, Gillette, Blade, 4 pcs, 80, 0
Gillette Vector Cartridges 6 pcs, Gillette, Blade, 6 pcs, 120, 0
Gillette Mach3 Turbo 2 Cartridges, Gillette, Blade, 2 Cartridges, 330, 0
Gillette Mach3 Turbo 4 Cartridges, Gillette, Blade, 4 Cartridges, 610, 0
Gillette Mach3 Turbo Sensitive 2 Cartridges, Gillette, Blade, 2 Cartridges, 330, 0
Gillette Mach3 Turbo Sensitive 4 Cartridges, Gillette, Blade, 4 Cartridges, 610, 0
Gillette 7 O Clock PII 5 Cartridges, Gillette, Blade, 5 Cartridges, 160, 0
Gillette Fusion 2 Cartridges, Gillette, Blade, 2 Cartridges, 465, 0
Gillette Fusion 4 Cartridges, Gillette, Blade, 4 Cartridges, 840, 0
Gillette Fusion 8 Cartridges, Gillette, Blade, 8 Cartridges, 1475, 0
Gillette Mach3 Turbo Cartridges 8 Nos, Gillette, Blade, 8 Nos, 975, 0
Gillette Sensor Excel Blade 5 Pc, Gillette, Blade, 5 Pc, 449, 0
Gillette Fusion Power Cartridge 2 pc, Gillette, Blade, 2 pc, 520, 0
Gillette Fusion Power Cartridge 4 Nos, Gillette, Blade, 4 Nos, 900, 0
Gillette Fusion Power Cartridge 8 pc, Gillette, Blade, 8 pc, 1525, 0
Gillette Vector 3 Shaving Cartridges 4 Cartridge, Gillette, Blade, 4 Cartridge, 230, 0
Gillette Vector 3 Shaving Cartridges 8 Cartridge, Gillette, Blade, 8 Cartridge, 400, 0
Gillette Venus 2 Cartridges, Gillette, Blade, 2 Cartridges, 275, 0
Gillette Venus 4 Cartridges, Gillette, Blade, 4 Cartridges, 449, 0
Gillette Fusion Proglide Flexball Cartridges Pack of 4 Nos 1 Pc, Gillette, Blade, 1 Pc, 999, 0
Gillette Fusion Proglide Flexball Cartridges Pack of 2 Nos 1 pc, Gillette, Blade, 1 pc, 525, 0
Gillette Fusion Proglide Flexball Cartridges Pack of 8 Nos 1 Pc, Gillette, Blade, 1 Pc, 1690, 0
Supermax SMX 3 Blade Razor 1 Pc, Supermax, Blade, 1 Pc, 149, 0
