Full Name, Brand, Category Name, Properties, MRP, Discount
Surf Excel Easy Wash Detergent Powder 475 g, Surf Excel, Detergent Powder, 475 g, 55, 0
Surf Excel Easy Wash Detergent Powder 700 g, Surf Excel, Detergent Powder, 700 g, 77, 0
Surf Excel Easy Wash Detergent Powder 1.5 Kg, Surf Excel, Detergent Powder, 1.5 Kg, 187, 0
Surf Excel Easy Wash Detergent Powder 3 kg, Surf Excel, Detergent Powder, 3 kg, 364, 0
Surf Excel Easy Wash Detergent Powder 3.8 kg, Surf Excel, Detergent Powder, 3.8 kg, 479, 0
Surf Excel Matic Front Load 500 g, Surf Excel, Detergent Powder, 500 g, 120, 0
Surf Excel Matic Front Load 1 Kg, Surf Excel, Detergent Powder, 1 Kg, 205, 0
Surf Excel Matic Front Load 2 Kg, Surf Excel, Detergent Powder, 2 Kg, 465, 0
Tide Plus Jasmine & Rose Detergent Powder 500 g, Tide, Detergent Powder, 500 g, 43, 0
Tide Plus Jasmine & Rose Detergent Powder 1 kg, Tide, Detergent Powder, 1 kg, 85, 0
Tide Plus Jasmine & Rose Detergent Powder 2 Kg, Tide, Detergent Powder, 2 Kg, 192, 0
Tide Plus Jasmine & Rose Detergent Powder 4 kg, Tide, Detergent Powder, 4 kg, 382, 0
Tide Plus Jasmine & Rose Detergent Powder 6 kg, Tide, Detergent Powder, 6 kg, 568, 0
Surf Excel Matic Top Load 500 g, Surf Excel, Detergent Powder, 500 g, 110, 0
Surf Excel Matic Top Load 1 Kg, Surf Excel, Detergent Powder, 1 Kg, 185, 0
Surf Excel Matic Top Load 2 Kg, Surf Excel, Detergent Powder, 2 Kg, 365, 0
Ariel Complete Matic Front & Top Load 500 g, Ariel, Detergent Powder, 500 g, 120, 0
Ariel Complete Matic Front & Top Load 1 Kg, Ariel, Detergent Powder, 1 Kg, 205, 0
Ariel Complete Matic Front & Top Load 2 Kg, Ariel, Detergent Powder, 2 Kg, 453, 0
Rin Advacne Detergent Powder 500 g, Rin, Detergent Powder, 500 g, 39, 0
Rin Advacne Detergent Powder 1 Kg, Rin, Detergent Powder, 1 Kg, 78, 0
Rin Advacne Detergent Powder 2 Kg, Rin, Detergent Powder, 2 Kg, 150, 0
Rin Advacne Detergent Powder 4 Kg, Rin, Detergent Powder, 4 Kg, 352, 0
Rin Advacne Detergent Powder 6 Kg, Rin, Detergent Powder, 6 Kg, 450, 0
Tide Plus Talcum Freshness Detergent Powder 500 g, Tide, Detergent Powder, 500 g, 43, 0
Tide Plus Talcum Freshness Detergent Powder 1 Kg, Tide, Detergent Powder, 1 Kg, 85, 0
Tide Plus Talcum Freshness Detergent Powder 2 Kg, Tide, Detergent Powder, 2 Kg, 192, 0
Tide Plus Talcum Freshness Detergent Powder 4 Kg, Tide, Detergent Powder, 4 Kg, 382, 0
Tide Plus Talcum Freshness Detergent Powder 6 Kg, Tide, Detergent Powder, 6 Kg, 568, 0
Tide Plus Detergent Powder 500 g, Tide, Detergent Powder, 500 g, 43, 0
