Full Name, Brand, Category Name, Properties, MRP, Discount
Premier Kitchen Towel 23 cm x 23 cm 2 Rolls, Premier, Tissue Paper, 2 Rolls, 123, 0
Premier Kitchen Towel 23 cm x 23 cm 4 Rolls, Premier, Tissue Paper, 4 Rolls, 220, 0
Terzo Toilet Rolls 2 Ply 100 g 1 Roll, Terzo, Tissue Paper, 1 Roll, 44, 0
Terzo Toilet Rolls 2 Ply 100 g 6 Rolls, Terzo, Tissue Paper, 6 Rolls, 160, 0
Terzo Toilet Rolls 2 Ply 100 g 10 Rolls, Terzo, Tissue Paper, 10 Rolls, 240, 0
Hypercity Every Day Soft Paper Napkins 22 cm X 22 cm 1 Ply 100 Sheets, Hypercity Every Day, Tissue Paper, 100 Sheets, 32, 0
Premier Serviette 50 Sheets, Premier, Tissue Paper, 50 Sheets, 28, 0
Premier Serviette 100 Sheets, Premier, Tissue Paper, 100 Sheets, 50, 0
Hypercity Every Day Soft Paper Napkins 30 cm X 30 cm 1 Ply 100 Sheets, Hypercity Every Day, Tissue Paper, 100 Sheets, 52, 0
Premier Special Face Tissue 2 Ply 200 Sheets, Premier, Tissue Paper, 200 Sheets, 65, 0
Premier Special Face Tissue 2 Ply 400 Sheets, Premier, Tissue Paper, 400 Sheets, 115, 0
Premier 2 Ply Toilet Tissue 11.5 x 9.5 cm 330 Pulls, Premier, Tissue Paper, 330 Pulls, 50, 0
Origami So..Soft fine Dining Luncheon Napkins 320 mm x 320 mm 50 Serviettes, Origami, Tissue Paper, 50 Serviettes, 38, 0
Hypercity Every Day Soft Paper Napkins 32 cm X 32 cm 1 ply 50 Pcs, Hypercity Every Day, Tissue Paper, 50 Pcs, 34, 0
Origami So..Soft 2Ply Face Tissues 100 Pulls, Origami, Tissue Paper, 100 Pulls, 65, 0
Origami So..Soft 2Ply Face Tissues 200 Pulls, Origami, Tissue Paper, 200 Pulls, 110, 0
Origami So..Soft 2Ply Face Tissues 3 X 200 Pulls, Origami, Tissue Paper, 3 X 200 Pulls, 300, 0
Origami 3 Ply Tissue Roll 100 g, Origami, Tissue Paper, 100 g, 40, 0
Origami 3 Ply Tissue Roll 200 g, Origami, Tissue Paper, 200 g, 72, 0
Selpak Kitchen Towel Tissue 3 Ply 2 Rolls, Selpak, Tissue Paper, 2 Rolls, 200, 0
Black & White Kitchen Towel 1 pc, Black & White, Tissue Paper, 1 pc, 175, 0
Black & White 2Ply Bathroom Roll 1 pc, Black & White, Tissue Paper, 1 pc, 245, 0
Origami So..Soft 3 Ply Tissues Roll 4 pc, Origami, Tissue Paper, 4 pc, 260, 0
Origami So..Soft 3 Ply Tissues Roll 10 pc, Origami, Tissue Paper, 10 pc, 320, 0
Paseo Toilet Roll Marine Printed 2 Ply 1 Roll, Paseo, Tissue Paper, 1 Roll, 49, 0
Origami Non Woven Kitchen Towels 23cm*21cm 80 pulls, Origami, Tissue Paper, 80 pulls, 185, 0
Origami So..Soft Printed Crepe Tissues 32 x32 cm 50 pcs, Origami, Tissue Paper, 50 pcs, 75, 0
Hypercity Every Day Soft Paper Napkins Printed 32 cm X 32 cm 1 ply 50 Pcs, Hypercity Every Day, Tissue Paper, 50 Pcs, 38, 0
Paseo Toilet Roll 2 ply 6 Rolls, Paseo, Tissue Paper, 6 Rolls, 269, 0
Fresh Coconut Regular 1 Nos, Fresh, Fresh Vegetables, 1 Nos, 20, 0
Fresh Beetroot 500 g, Fresh, Fresh Vegetables, 500 g, 21, 0
Fresh Mint Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 7.5, 0
Fresh Bitter Gourd 750 g, Fresh, Fresh Vegetables, 750 g, 45, 0
Fresh Garlic Whole Regular 300 g, Fresh, Fresh Vegetables, 300 g, 45, 0
