Full Name, Brand, Category Name, Properties, MRP, Discount
Johnson & Johnson Baby Lotion 100 ml, Johnson & Johnson, Baby Lotion, 100 ml, 85, 0
Johnson & Johnson Baby Lotion 200 ml, Johnson & Johnson, Baby Lotion, 200 ml, 150, 0
Johnson & Johnson Baby Lotion 500 ml, Johnson & Johnson, Baby Lotion, 500 ml, 350, 0
Johnson & Johnson Baby Milk Lotion 100 ml, Johnson & Johnson, Baby Lotion, 100 ml, 95, 0
Johnson & Johnson Baby Milk Lotion 200 ml, Johnson & Johnson, Baby Lotion, 200 ml, 165, 0
Himalaya Baby Lotion 200 ml, Himalaya, Baby Lotion, 200 ml, 145, 0
Himalaya Baby Lotion 400 ml, Himalaya, Baby Lotion, 400 ml, 215, 0
Himalaya Gentel Baby Bath 200 ml, Himalaya, Baby Lotion, 200 ml, 125, 0
Sebamed Baby Lotion 100 ml, Sebamed, Baby Lotion, 100 ml, 500, 0
