Full Name, Brand, Category Name, Properties, MRP, Discount
Garnier Fructis Oil In Cream 100 g, Garnier Fructis, Hair Gel, 100 g, 60, 0
Garnier Fructis Oil In Cream 200 g, Garnier Fructis, Hair Gel, 200 g, 100, 0
LOreal Total Repair 5 Unmanageable Damaged Hair Nourishing Oil Serum 40 ml, LOreal, Hair Gel, 40 ml, 150, 0
Livon Silky Potion 50 ml, Livon, Hair Gel, 50 ml, 115, 0
Livon Silky Potion 100 ml, Livon, Hair Gel, 100 ml, 215, 0
Parachute Advansed Aftershower Non Sticky Hair Cream 50g, Parachute, Hair Gel, 50g, 40, 0
Parachute Advansed Aftershower Non Sticky Hair Cream 100 g, Parachute, Hair Gel, 100 g, 77, 0
Parachute Aftershower Anti Dandruff  Non Sticky Hair Cream 50 g, Parachute, Hair Gel, 50 g, 44, 0
Parachute Aftershower Anti Dandruff  Non Sticky Hair Cream 100 g, Parachute, Hair Gel, 100 g, 88, 0
Himalaya Anti Dandruff Hair Cream 175 ml, Himalaya, Hair Gel, 175 ml, 100, 0
Set Wet Cool Hold Hair Gel 100 ml, Set Wet, Hair Gel, 100 ml, 90, 0
Premium Rugged Hold Hair Gel 100 g, Premium, Hair Gel, 100 g, 80, 0
Set Wet Vertical Hold Hair Gel 100 ml, Set Wet, Hair Gel, 100 ml, 90, 0
Set Wet Ultimate Hold Hair Gel 250 ml, Set Wet, Hair Gel, 250 ml, 150, 0
Premium Wet Look Hair Gel 100 g, Premium, Hair Gel, 100 g, 80, 0
Hair & Care Silk N Shine 50 ml, Hair & Care, Hair Gel, 50 ml, 90, 0
Hair & Care Silk N Shine 100 ml, Hair & Care, Hair Gel, 100 ml, 165, 0
Gatsby Watergloss Soft Wet look 100 g, Gatsby, Hair Gel, 100 g, 80, 0
Gatsby Watergloss Soft Wet look 300 g, Gatsby, Hair Gel, 300 g, 140, 0
Premium Soft Hold Hair Gel 100 g, Premium, Hair Gel, 100 g, 80, 0
Gatsby Super Hard Set and Keep Spray 200 ml, Gatsby, Hair Gel, 200 ml, 200, 0
Gatsby Watergloss Wet look 100 g, Gatsby, Hair Gel, 100 g, 80, 0
Set Wet Casual Hold Hair Gel 250 ml, Set Wet, Hair Gel, 250 ml, 150, 0
Gatsby Mohawk Mania Extreme & Firm 75 g, Gatsby, Hair Gel, 75 g, 180, 0
Himalaya Anti Hair Loss Cream 50 ml, Himalaya, Hair Gel, 50 ml, 190, 0
Engage Man Fuzz Body Spray 165 ml, Engage, Hair Gel, 165 ml, 190, 0
Fresh Coconut Regular 1 Nos, Fresh, Fresh Vegetables, 1 Nos, 20, 0
Fresh Beetroot 500 g, Fresh, Fresh Vegetables, 500 g, 21, 0
Fresh Mint Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 7.5, 0
Fresh Bitter Gourd 750 g, Fresh, Fresh Vegetables, 750 g, 45, 0
Fresh Garlic Whole Regular 300 g, Fresh, Fresh Vegetables, 300 g, 45, 0
Fresh Green Peas 500 g, Fresh, Fresh Vegetables, 500 g, 110, 0
Fresh Basket Broccoli 500 g, Fresh Basket, Fresh Vegetables, 500 g, 120, 0
Fresh Colacasia Arvi Roots 250 g, Fresh, Fresh Vegetables, 250 g, 17, 0
Fresh Gooseberry Indian Amla 250 g, Fresh, Fresh Vegetables, 250 g, 30, 0
Fresh Mushroom Button Unit Pack 1 pc, Fresh, Fresh Vegetables, 1 pc, 46, 0
Fresh Cluster Beans 250 g, Fresh, Fresh Vegetables, 250 g, 14.5, 0
Fresh Basket Potato 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 28, 0
Fresh Brinjal Long White 500 g, Fresh, Fresh Vegetables, 500 g, 19, 0
Fresh Drumsticks 250 g, Fresh, Fresh Vegetables, 250 g, 20, 0
Fresh Amranths Red Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 7, 0
Fresh Pointer Gourd (Parval) 500 g, Fresh, Fresh Vegetables, 500 g, 60, 0
Fresh Basket Onion Packed 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 20, 0
Fresh Basket Onion Packed 5 Kg, Fresh Basket, Fresh Vegetables, 5 Kg, 95, 0
Fresh Avocado 500 g, Fresh, Fresh Vegetables, 500 g, 160, 0
Fresh European (English) Cucumber 500 g, Fresh, Fresh Vegetables, 500 g, 24, 0
Fresh Snake Gourd 500 g, Fresh, Fresh Vegetables, 500 g, 27, 0
