Full Name, Brand, Category Name, Properties, MRP, Discount
Safal Frozen Sweet Corn 200 g, Safal, Frozen Sweet Corn, 200 g, 35, 0
Safal Frozen Sweet Corn 500 g, Safal, Frozen Sweet Corn, 500 g, 70, 0
Safal Frozen Sweet Corn 1 Kg, Safal, Frozen Sweet Corn, 1 Kg, 120, 0
Fresh Frozen Hand Picked Sweet Corn 250 g, Fresh Frozen, Frozen Sweet Corn, 250 g, 37, 0
Healthy Boiled White Kabuli Channa With Southie Masala 200 g, Healthy, Frozen Sweet Corn, 200 g, 35, 0
Healthy Boiled Baby Corn Whole Baby Corn 250 g, Healthy, Frozen Sweet Corn, 250 g, 75, 0
Frish Sweet Corn 500 g, Frish, Frozen Sweet Corn, 500 g, 70, 0
Hypercity Everyday Frozen sweet Corn 500 g, Hypercity Everyday, Frozen Sweet Corn, 500 g, 85, 0
