Full Name, Brand, Category Name, Properties, MRP, Discount
Good Knight Advanced Refill Twin Pack 2 X 45 ml, Good Knight, Insect Repellent, 2 X 45 ml, 128, 0
Hit Red - Kills Hidden Cockroaches 225ml, Hit, Insect Repellent, 225ml, 89, 0
Hit Red - Kills Hidden Cockroaches 400 ml, Hit, Insect Repellent, 400 ml, 165, 0
Hit Red - Kills Hidden Cockroaches 625 ml, Hit, Insect Repellent, 625 ml, 240, 0
Good Knight Silver Refill 45 Nights, Good Knight, Insect Repellent, 45 Nights, 63, 0
Good Knight Silver Refill 60 Night, Good Knight, Insect Repellent, 60 Night, 72, 0
Good Knight Advance Active + Refill 33 % Extra 1 Pc, Good Knight, Insect Repellent, 1 Pc, 75, 0
Good Knight Advance Active + Refill 33 % Extra 3 Pc, Good Knight, Insect Repellent, 3 Pc, 210, 0
All Out Liquid Vaporizer 60 Nights Refill 60 Nights, All Out, Insect Repellent, 60 Nights, 75, 0
All Out Liquid Vaporizer 60 Nights Refill 3 X 60 Nights Refill, All Out, Insect Repellent, 3 X 60 Nights Refill, 199, 0
Good Knight Advance Fast Card 3 min Instant Action Card Packs 10 pc, Good Knight, Insect Repellent, 10 pc, 10, 0
Hit Black - Kills Flies & Mosquitoes 225 ml, Hit, Insect Repellent, 225 ml, 89, 0
Hit Black - Kills Flies & Mosquitoes 400 ml, Hit, Insect Repellent, 400 ml, 165, 0
Hit Black - Kills Flies & Mosquitoes 700 ml, Hit, Insect Repellent, 700 ml, 240, 0
All Out Ultra Refill 45 ml, All Out, Insect Repellent, 45 ml, 66, 0
All Out Ultra Refill 2 x 45 ml, All Out, Insect Repellent, 2 x 45 ml, 122, 0
All Out Ultra Refill 6x45 ml, All Out, Insect Repellent, 6x45 ml, 330, 0
Good Knight Advance Xpress Cartridge 35 ml, Good Knight, Insect Repellent, 35 ml, 69, 0
Good Knight Advance Xpress Cartridge 3 X 45 ml, Good Knight, Insect Repellent, 3 X 45 ml, 188, 0
Hit Anti Roach Gel 20 g, Hit, Insect Repellent, 20 g, 150, 0
Terzo Napthalene Balls 200 g, Terzo, Insect Repellent, 200 g, 84, 0
Terzo Napthalene Balls 500 g, Terzo, Insect Repellent, 500 g, 179, 0
Good Knight Active Refill Lavender 45 ml, Good Knight, Insect Repellent, 45 ml, 69, 0
Good Knight Advanced Activ+System Combi Pack 1 pc, Good Knight, Insect Repellent, 1 pc, 72, 0
All Out Ultra Liquid Electric With Smart Chip 1 pc, All Out, Insect Repellent, 1 pc, 108, 0
Terzo Sancube 200 g, Terzo, Insect Repellent, 200 g, 67, 0
Good Knight Silver Power Mats 30 pc, Good Knight, Insect Repellent, 30 pc, 54, 0
Mortein Power Gard All Insect Killer 225ml, Mortein, Insect Repellent, 225ml, 84, 0
Mortein Power Gard All Insect Killer 425 Ml, Mortein, Insect Repellent, 425 Ml, 160, 0
All Out Liquid Vaporizer Refill 45 nights, All Out, Insect Repellent, 45 nights, 63, 0
Hit Kills Rats 25 g, Hit, Insect Repellent, 25 g, 12, 0
All Out Flash Guard 10 Cards, All Out, Insect Repellent, 10 Cards, 10, 0
Fresh Coconut Regular 1 Nos, Fresh, Fresh Vegetables, 1 Nos, 20, 0
Fresh Beetroot 500 g, Fresh, Fresh Vegetables, 500 g, 21, 0
Fresh Mint Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 7.5, 0
Fresh Bitter Gourd 750 g, Fresh, Fresh Vegetables, 750 g, 45, 0
Fresh Garlic Whole Regular 300 g, Fresh, Fresh Vegetables, 300 g, 45, 0
Fresh Green Peas 500 g, Fresh, Fresh Vegetables, 500 g, 110, 0
Fresh Basket Broccoli 500 g, Fresh Basket, Fresh Vegetables, 500 g, 120, 0
Fresh Colacasia Arvi Roots 250 g, Fresh, Fresh Vegetables, 250 g, 17, 0
Fresh Gooseberry Indian Amla 250 g, Fresh, Fresh Vegetables, 250 g, 30, 0
Fresh Mushroom Button Unit Pack 1 pc, Fresh, Fresh Vegetables, 1 pc, 46, 0
Fresh Cluster Beans 250 g, Fresh, Fresh Vegetables, 250 g, 14.5, 0
Fresh Basket Potato 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 28, 0
Fresh Brinjal Long White 500 g, Fresh, Fresh Vegetables, 500 g, 19, 0
Fresh Drumsticks 250 g, Fresh, Fresh Vegetables, 250 g, 20, 0
Fresh Amranths Red Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 7, 0
Fresh Pointer Gourd (Parval) 500 g, Fresh, Fresh Vegetables, 500 g, 60, 0
Fresh Basket Onion Packed 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 20, 0
Fresh Basket Onion Packed 5 Kg, Fresh Basket, Fresh Vegetables, 5 Kg, 95, 0
Fresh Avocado 500 g, Fresh, Fresh Vegetables, 500 g, 160, 0
Fresh European (English) Cucumber 500 g, Fresh, Fresh Vegetables, 500 g, 24, 0
Fresh Snake Gourd 500 g, Fresh, Fresh Vegetables, 500 g, 27, 0
Fresh Suran (Elephant Yam) 300 g, Fresh, Fresh Vegetables, 300 g, 16.5, 0
Fresh Radish Red 250 g, Fresh, Fresh Vegetables, 250 g, 14.5, 0
Fresh Banana Flower 1 Nos, Fresh, Fresh Vegetables, 1 Nos, 15, 0
Fresh Turnip 250 g, Fresh, Fresh Vegetables, 250 g, 27.5, 0
Fresh Banana Stem 1 pc, Fresh, Fresh Vegetables, 1 pc, 15, 0
Fresh Lettuce Iceberg 500 g, Fresh, Fresh Vegetables, 500 g, 80, 0
Fresh Basket Zucchini Green 350 g, Fresh Basket, Fresh Vegetables, 350 g, 42, 0
Fresh Local Cucumber 500 g, Fresh, Fresh Vegetables, 500 g, 31, 0
Fresh Kappa 500 g, Fresh, Fresh Vegetables, 500 g, 18, 0
Fresh Tinda 250 g, Fresh, Fresh Vegetables, 250 g, 30, 0
Fresh Baby Corn 500 g, Fresh, Fresh Vegetables, 500 g, 85, 0
Fresh Lotus Root 100 g, Fresh, Fresh Vegetables, 100 g, 29, 0
Fresh Basket Zucchini Yellow 250 g, Fresh Basket, Fresh Vegetables, 250 g, 35, 0
Fresh Onion Madras 1 Kg, Fresh, Fresh Vegetables, 1 Kg, 105, 0
Fresh Basket Celery (Indian) 500 g, Fresh Basket, Fresh Vegetables, 500 g, 47.5, 0
Fresh Basket Cucumber American Zero Pesticide 500 g, Fresh Basket, Fresh Vegetables, 500 g, 24.5, 0
Healthy Sweet Corn Peri Peri 1 Pc, Healthy, Fresh Vegetables, 1 Pc, 35, 0
Fresh Chilli Small Round 250 g, Fresh, Fresh Vegetables, 250 g, 55, 0
Fresh Basket Chinese Cabbage 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 95, 0
Fresh Basket Bitter Gourd Mini Zero Pesticide 250 g, Fresh Basket, Fresh Vegetables, 250 g, 14.75, 0
