Full Name, Brand, Category Name, Properties, MRP, Discount
Camlin Poster Color Paint Bottle 12 Shades 10 ml, Camlin, Color Palette, 10 ml, 160, 0
Colour Imp Artist Palette Pelkn Smal. 1 Pc, Colour, Color Palette, 1 Pc, 79, 0
