Full Name, Brand, Category Name, Properties, MRP, Discount
Baba Ramdev Patanjali Body Lotion 100 ml, Baba Ramdev Patanjali, Moisturiser, 100 ml, 60, 0
Vaseline Total Moisture 24hr Nourishing Lotion 100 ml, Vaseline, Moisturiser, 100 ml, 70, 0
Vaseline Total Moisture 24hr Nourishing Lotion 200 ml, Vaseline, Moisturiser, 200 ml, 135, 0
Vaseline Total Moisture 24hr Nourishing Lotion 300 ml, Vaseline, Moisturiser, 300 ml, 200, 0
Vaseline Total Moisture Aloe Fresh 24hr nourishing Lotion 100 ml, Vaseline, Moisturiser, 100 ml, 100, 0
Vaseline Total Moisture Aloe Fresh 24hr nourishing Lotion 200 ml, Vaseline, Moisturiser, 200 ml, 170, 0
Vaseline Total Moisture Aloe Fresh 24hr nourishing Lotion 300 ml, Vaseline, Moisturiser, 300 ml, 235, 0
Baba Ramdev Patanjali Aloe Vera Moisturizing Cream 50 g, Baba Ramdev Patanjali, Moisturiser, 50 g, 75, 0
Nivea Express Hydration Normal Skin Body Lotion 250 ml, Nivea, Moisturiser, 250 ml, 180, 0
Nivea Express Hydration Normal Skin Body Lotion 400 ml, Nivea, Moisturiser, 400 ml, 265, 0
Ponds Triple Vitamin Moisturising Lotion 300 ml, Ponds, Moisturiser, 300 ml, 200, 0
Himalaya Aloe & Cucumber Refreshing Moisturiser Light & Cool Body Lotion 100 ML, Himalaya, Moisturiser, 100 ML, 80, 0
Himalaya Aloe & Cucumber Refreshing Moisturiser Light & Cool Body Lotion 200 ml, Himalaya, Moisturiser, 200 ml, 140, 0
Himalaya Aloe & Cucumber Refreshing Moisturiser Light & Cool Body Lotion 400 ML, Himalaya, Moisturiser, 400 ML, 250, 0
Parachute Soft Touch Dry Skin Body Lotion 100 ml, Parachute, Moisturiser, 100 ml, 50, 0
Parachute Soft Touch Dry Skin Body Lotion 250 ml, Parachute, Moisturiser, 250 ml, 150, 0
Nivea Smooth Milk Body Lotion 75 ml, Nivea, Moisturiser, 75 ml, 120, 0
Nivea Smooth Milk Body Lotion 200 ml, Nivea, Moisturiser, 200 ml, 215, 0
Nivea Smooth Milk Body Lotion 400 ml, Nivea, Moisturiser, 400 ml, 330, 0
Himalaya Soothing Body Lotion 100 ML, Himalaya, Moisturiser, 100 ML, 80, 0
Himalaya Soothing Body Lotion 200 ML, Himalaya, Moisturiser, 200 ML, 140, 0
Himalaya Soothing Body Lotion 400 ml, Himalaya, Moisturiser, 400 ml, 250, 0
Himalaya Nourishing Body Lotion 200 ml, Himalaya, Moisturiser, 200 ml, 140, 0
Himalaya Nourishing Body Lotion 400 ml, Himalaya, Moisturiser, 400 ml, 250, 0
