Full Name, Brand, Category Name, Properties, MRP, Discount
Johnson & Johnson Baby Oil 100 ml, Johnson & Johnson, Baby Oil, 100 ml, 100, 0
Johnson & Johnson Baby Oil 200 ml, Johnson & Johnson, Baby Oil, 200 ml, 175, 0
Johnson & Johnson Baby Oil 500 ml, Johnson & Johnson, Baby Oil, 500 ml, 360, 0
Dabur Lal Tail 100 ml, Dabur, Baby Oil, 100 ml, 90, 0
Dabur Lal Tail 200 ml, Dabur, Baby Oil, 200 ml, 165, 0
Johnson & Johnson Baby Hair Oil 100 ml, Johnson & Johnson, Baby Oil, 100 ml, 70, 0
Johnson & Johnson Baby Hair Oil 200 ml, Johnson & Johnson, Baby Oil, 200 ml, 110, 0
Dabur Massage Olive & Almond Oil 200 ml, Dabur, Baby Oil, 200 ml, 200, 0
