Full Name, Brand, Category Name, Properties, MRP, Discount
Johnson & Johnson Baby Powder 100 g, Johnson & Johnson, Baby Powder, 100 g, 60, 0
Johnson & Johnson Baby Powder 200 g, Johnson & Johnson, Baby Powder, 200 g, 110, 0
Johnson & Johnson Baby Powder 400 g, Johnson & Johnson, Baby Powder, 400 g, 180, 0
Johnson & Johnson Blossoms  Floral Fragrance Baby Powder 100 g, Johnson & Johnson, Baby Powder, 100 g, 65, 0
Johnson & Johnson Blossoms  Floral Fragrance Baby Powder 200 g, Johnson & Johnson, Baby Powder, 200 g, 115, 0
Johnson & Johnson Diaper Rash Powder 200 g, Johnson & Johnson, Baby Powder, 200 g, 110, 0
Johnson & Johnson Baby Powder 700 g, Johnson & Johnson, Baby Powder, 700 g, 300, 0
Sebamed Baby Powder 200 g, Sebamed, Baby Powder, 200 g, 700, 0
Himalaya Baby Powder 400 g, Himalaya, Baby Powder, 400 g, 150, 0
