Full Name, Brand, Category Name, Properties, MRP, Discount
Kiwi Express Shine Black Instant Sponge 1 pc, Kiwi, Shoe Polish, 1 pc, 65, 0
Cherry Blossom Black Shoe Polish 15 g, Cherry, Shoe Polish, 15 g, 25, 0
Cherry Blossom Black Shoe Polish 40 g, Cherry, Shoe Polish, 40 g, 49, 0
Kiwi Express Shine Neutral Instant Shine Sponge 7 ml, Kiwi, Shoe Polish, 7 ml, 65, 0
Cherry Blossom Black Liquid Shoe Polish 75 ml, Cherry, Shoe Polish, 75 ml, 71, 0
Kiwi Wax Rich Colour Shine Black 40 ml, Kiwi, Shoe Polish, 40 ml, 49, 0
Kiwi Wax Rich Colour Shine Black 75 ml, Kiwi, Shoe Polish, 75 ml, 69, 0
Kiwi Shoe Polish Black 40 g, Kiwi, Shoe Polish, 40 g, 48, 0
Kiwi 2 in 1 Brush 1 pc, Kiwi, Shoe Polish, 1 pc, 69, 0
Kiwi Leather Shoe Shine Brush 1 pc, Kiwi, Shoe Polish, 1 pc, 55, 0
Kiwi Dark Tan Shoe Polish 40 g, Kiwi, Shoe Polish, 40 g, 48, 0
Cherry Blossom Handyshine Instant Sponge 1 pc, Cherry, Shoe Polish, 1 pc, 64, 0
Kiwi Wax Rich Color Shine Natural Instant Polish 75 ml, Kiwi, Shoe Polish, 75 ml, 69, 0
Woly Suede Gum Velours 1 Pc, Woly, Shoe Polish, 1 Pc, 299, 0
Woly Suede Velours 1524 Black 1 Pc, Woly, Shoe Polish, 1 Pc, 449, 0
